dia_semana,ano,data,adversario,publico_pagante,publico_presente,renda_bruta,estadio,campeonato,placar,horario
"domingo,",2018,22 de abril,Cruzeiro,8.671,101.016,"R$ 263.145,00",Maracanã,2ª rodada do Campeonato Brasileiro 2018,1 × 0,às 16:00
"quinta-feira,",2018,26 de abril,Universidad de Chile,30.252,34.147,"R$ 1.584.454,00",Mineirão,4ª rodada - Fase de Grupos (Grupo 5) da Copa Libertadores da América 2018,7 × 0,às 19:15
"domingo,",2018,29 de abril,Cruzeiro,20.513,Não disponível,"R$ 816.055,00",Beira-Rio,3º rodada do Campeonato Brasileiro 2018,0 × 0,às 19:00
"quarta-feira,",2018,2 de maio,Cruzeiro,12.624,12.973,"R$ 657.278,35",São Januário,5ª rodada - Fase de Grupos (Grupo 5) da Copa Libertadores da América 2018,0 × 4,às 21:45
"domingo,",2018,6 de maio,Botafogo,16.869 (12.906 sócios),20.908,"R$ 391.830,00",Mineirão,4ª rodada do Campeonato Brasileiro 2018,1 × 0,às 19:00
"domingo,",2018,13 de maio,Sport,19.029 (14.962 sócios),21.907,"R$ 407.831,00",Mineirão,5ª rodada do Campeonato Brasileiro 2018,2 × 0,às 11:00
"quarta-feira,",2018,16 de maio,Cruzeiro,11.455,Não disponível,"R$ 199.200,00",Arena da Baixada,Jogo de ida - Oitavas de Final da Copa do Brasil 2018,1 × 2,às 21:45
"sábado,",2018,19 de maio,Cruzeiro,15.384,Não disponível,"R$ 629.360,00",Independência,6ª rodada do Campeonato Brasileiro 2018,1 × 0,às 16:00
"terça-feira,",2018,22 de maio,Racing,38.564,43.276,"R$ 2.213.676,00",Mineirão,6ª rodada - Grupo 5 da Copa Libertadores da América 2018,2 × 1,às 21:30
"domingo,",2018,27 de maio,Cruzeiro,8.504,10.670,"R$ 349.730,00",Pacaembu,7ª rodada do Campeonato Brasileiro 2018,0 × 1,às 16:00
"quarta-feira,",2018,30 de maio,Palmeiras,16.175 (13.665 sócios),19.679,"R$ 365.112,00",Mineirão,8ª rodada do Campeonato Brasileiro 2018,1 × 0,às 21:45
"domingo,",2018,3 de junho,Cruzeiro,15.234,Não disponível,"R$ 71.385,00",Castelão-CE,9ª rodada do Campeonato Brasileiro 2018,0 × 1,às 19:00
"quarta-feira,",2018,6 de junho,Vasco,19.870 (16.835 sócios),23.725,"R$ 411.772,00",Mineirão,10ª rodada do Campeonato Brasileiro 2018,1 × 1,às 21:45
"sábado,",2018,9 de junho,Cruzeiro,6.637,Não disponível,"R$ 136.420,00",Arena Condá,11ª rodada do Campeonato Brasileiro 2018,2 × 0,às 19:00
"quarta-feira,",2018,13 de junho,Cruzeiro,5.131,Não disponível,"R$ 110.050,00",Durival de Britto,12ª rodada do Campeonato Brasileiro 2018,1 × 1,às 19:30
"quarta-feira,",2018,4 de julho,Corinthians,9.837,11.364,"R$ 114.275,00",Mineirão,Amistosos 2018,0 × 2,às 20:00
"quarta-feira,",2018,11 de julho,Cruzeiro,22.018,37.091,"R$ 504.421,80",Arena Corinthians,Amistosos 2018,2 × 2,às 20:00
"segunda-feira,",2018,16 de julho,Atlético-PR,39.358 (32.856 sócios),44.443,"R$ 640.477,00",Mineirão,Jogo de volta - Oitavas de Final da Copa do Brasil 2018,1 × 1,às 20:00
"quinta-feira,",2018,19 de julho,América-MG,13.086 (10.445 sócios),17.958,"R$ 294.127,00",Mineirão,13ª rodada do Campeonato Brasileiro 2018,3 × 1,às 19:30
"domingo,",2018,22 de julho,Atlético-PR,10.635 (8.141 sócios),15.023,"R$ 245.910,00",Mineirão,14ª rodada do Campeonato Brasileiro 2018,2 × 1,às 19:00
"quarta-feira,",2018,25 de julho,Cruzeiro,21.031,21.307,"R$ 840.676,01",Arena Corinthians,15ª rodada do Campeonato Brasileiro 2018,2 × 0,às 21:45
"domingo,",2018,29 de julho,São Paulo,20.969 (14.675 sócios),26.800,"R$ 641.978,00",Mineirão,16ª rodada do Campeonato Brasileiro 2018,0 × 2,às 16:00
"quarta-feira,",2018,1 de agosto,Cruzeiro,7.134,Não disponível,"R$ 147.429,00",Vila Belmiro,Jogo de ida - Quartas de Final da Copa do Brasil 2018,0 × 1,às 19:30
"domingo,",2018,5 de agosto,Cruzeiro,7.193,7.771,"R$ 86.183,00",Barradão,17ª rodada do Campeonato Brasileiro 2018,1 × 1,às 16:00
"quarta-feira,",2018,8 de agosto,Cruzeiro,41.533,45.967,"R$ 3.273.740,00",Maracanã,Jogo de ida - Oitavas de Final da Copa Libertadores da América 2018,0 × 2,às 21:45
"domingo,",2018,12 de agosto,Cruzeiro,50.402,55.270,"R$ 1.530.899,60",Maracanã,18ª rodada do Campeonato Brasileiro 2018,1 × 0,às 16:00
"quarta-feira,",2018,15 de agosto,Santos,41.211 (35.766 sócios),49.513,"R$ 1.432.225,00",Mineirão,Jogo de volta - Quartas de Final da Copa do Brasil 2018,1 × 2,às 19:30
"domingo,",2018,19 de agosto,Bahia,24.127 (20.594 sócios),28.807,"R$ 387.435,00",Mineirão,19ª rodada do Campeonato Brasileiro 2018,1 × 1,às 16:00
"quarta-feira,",2018,22 de agosto,Cruzeiro,12.773,14.559,"R$ 398.680,00",Arena Grêmio,20ª rodada do Campeonato Brasileiro 2018,1 × 1,às 21:45
"sábado,",2018,25 de agosto,Fluminense,11.380 (8.677 sócios),14.449,"R$ 158.575,00",Mineirão,21ª rodada do Campeonato Brasileiro 2018,2 × 1,às 21:00
"quarta-feira,",2018,29 de agosto,Flamengo,44.791,52.706,"R$ 2.840.899,16",Mineirão,Jogo de volta - Oitavas de Final da Copa Libertadores da América 2018,0 × 1,às 21:45
"domingo,",2018,2 de setembro,Internacional,12.225 (9.179 sócios),16.247,"R$ 217.050,00",Mineirão,22ª rodada do Campeonato Brasileiro 2018,0 × 0,às 19:00
"quarta-feira,",2018,5 de setembro,Cruzeiro,5.320,5.749,"R$ 70.240,00",Engenhão,23ª rodada do Campeonato Brasileiro 2018,1 × 1,às 19:30
"sábado,",2018,8 de setembro,Cruzeiro,9.525,Não disponível,"R$ 53.860,00",Ilha do Retiro,24ª rodada do Campeonato Brasileiro 2018,0 × 0,às 16:00
